title,sub,author,author_bio,cat,type,price,pages,blurb,desc,drive_url,cover_image,badge,bg,fg,ac,pat,lang
Eureka: A Prose Poem,A free public domain cosmology book,Edgar Allan Poe,"Edgar Allan Poe was an American writer, poet, editor, and literary critic who is best known for his poetry and short stories, particularly his tales involving mystery and the macabre. He is widely regarded as one of the central figures of Romanticism and Gothic fiction in the United States and of early American literature.",Cosmology,free,0,138,"A classic cosmology work by Edgar Allan Poe. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Eureka: A Prose Poem by Edgar Allan Poe is a foundational cosmology work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Edgar Allan Poe was an American writer, poet, editor, and literary critic who is best known for his poetry and short stories, particularly his tales involving mystery and the macabre. He is widely regarded as one of the central figures of Romanticism and Gothic fiction in the United States and of early American literature.</p></div>",https://www.gutenberg.org/ebooks/32037.epub3.images,https://www.gutenberg.org/cache/epub/32037/pg32037.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
"Montreal, 1535-1914. Vol. 1. Under the French Régime, 1535-1760",A free public domain history book,William H. Atherton,"William Henry Atherton MBE was a British-born Canadian writer, historian, academic and scholar from Montreal, Quebec.",History,free,0,266,"A classic history work by William H. Atherton. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Montreal, 1535-1914. Vol. 1. Under the French Régime, 1535-1760 by William H. Atherton is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>William Henry Atherton MBE was a British-born Canadian writer, historian, academic and scholar from Montreal, Quebec.</p></div>",https://www.gutenberg.org/ebooks/47809.epub3.images,https://www.gutenberg.org/cache/epub/47809/pg47809.cover.medium.jpg,Free,#4a3728,#ffffff,#f59e0b,p-rings,en
"King Time: or, The mystical land of the hours, a fantasy",A free public domain poetry book,Percy Keese Fitzhugh,Percy Keese Fitzhugh was an American writer of nearly 100 books for children and young adults.,Poetry,free,0,264,"A classic poetry work by Percy Keese Fitzhugh. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>King Time: or, The mystical land of the hours, a fantasy by Percy Keese Fitzhugh is a foundational poetry work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Percy Keese Fitzhugh was an American writer of nearly 100 books for children and young adults.</p></div>",https://www.gutenberg.org/ebooks/79473.epub3.images,https://www.gutenberg.org/cache/epub/79473/pg79473.cover.medium.jpg,Free,#4a2b3d,#ffffff,#fb7185,p-rings,en
The tale of Jasper Jay,A free public domain fiction book,Arthur Scott Bailey,Arthur Scott Bailey was an American writer.,Fiction,free,0,272,"A classic fiction work by Arthur Scott Bailey. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The tale of Jasper Jay by Arthur Scott Bailey is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Arthur Scott Bailey was an American writer.</p></div>",https://www.gutenberg.org/ebooks/21836.epub3.images,https://www.gutenberg.org/cache/epub/21836/pg21836.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
Philosophy of Osteopathy,A free public domain osteopathic medicine book,A. T. Still,"Andrew Taylor Still was the founder of osteopathic medicine. He was also a physician and surgeon, author, inventor and Kansas territorial and state legislator. He was one of the founders of Baker University, the oldest four-year college in the state of Kansas, and was the founder of the American School of Osteopathy, the world's first osteopathic medical school, in Kirksville, Missouri.",Osteopathic medicine,free,0,139,"A classic osteopathic medicine work by A. T. Still. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Philosophy of Osteopathy by A. T. Still is a foundational osteopathic medicine work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Andrew Taylor Still was the founder of osteopathic medicine. He was also a physician and surgeon, author, inventor and Kansas territorial and state legislator. He was one of the founders of Baker University, the oldest four-year college in the state of Kansas, and was the founder of the American School of Osteopathy, the world's first osteopathic medical school, in Kirksville, Missouri.</p></div>",https://www.gutenberg.org/ebooks/25864.epub3.images,https://www.gutenberg.org/cache/epub/25864/pg25864.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
"The History of Woman Suffrage, Volume IV",A free public domain history book,Unknown Author,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,History,free,0,240,"A classic history work by Unknown Author. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The History of Woman Suffrage, Volume IV by Unknown Author is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/29870.epub3.images,https://www.gutenberg.org/cache/epub/29870/pg29870.cover.medium.jpg,Free,#4a3728,#ffffff,#f59e0b,p-rings,en
Christianity Viewed in Relation to the Present State of Society and Opinion.,A free public domain history book,François Guizot,"François Pierre Guillaume Guizot was a French historian, orator and statesman. Guizot was a dominant figure in French politics between the July Revolution and the Revolution of 1848.",History,free,0,95,"A classic history work by François Guizot. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Christianity Viewed in Relation to the Present State of Society and Opinion. by François Guizot is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>François Pierre Guillaume Guizot was a French historian, orator and statesman. Guizot was a dominant figure in French politics between the July Revolution and the Revolution of 1848.</p></div>",https://www.gutenberg.org/ebooks/60815.epub3.images,https://www.gutenberg.org/cache/epub/60815/pg60815.cover.medium.jpg,Free,#4a3728,#ffffff,#f59e0b,p-rings,en
"Money-making men; or, how to grow rich",A free public domain biography book,J. Ewing Ritchie,"J. Ewing Ritchie is an author and scholar in the field of Biography, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Biography,free,0,155,"A classic biography work by J. Ewing Ritchie. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Money-making men; or, how to grow rich by J. Ewing Ritchie is a foundational biography work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>J. Ewing Ritchie is an author and scholar in the field of Biography, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/62268.epub3.images,https://www.gutenberg.org/cache/epub/62268/pg62268.cover.medium.jpg,Free,#2d4a22,#ffffff,#f59e0b,p-rings,en
The Polity of the Athenians and the Lacedaemonians,A free public domain classic literature book,Xenophon,"Xenophon of Athens was a Greek military leader, philosopher, and historian. At the age of 30, he was elected as one of the leaders of the retreating Greek mercenaries, the Ten Thousand, who had been part of Cyrus the Younger's attempt to seize control of the Achaemenid Empire. As the military historian Theodore Ayrault Dodge wrote, the centuries since have devised nothing to surpass the genius of this warrior .",Classic Literature,free,0,142,"A classic classic literature work by Xenophon. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Polity of the Athenians and the Lacedaemonians by Xenophon is a foundational classic literature work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Xenophon of Athens was a Greek military leader, philosopher, and historian. At the age of 30, he was elected as one of the leaders of the retreating Greek mercenaries, the Ten Thousand, who had been part of Cyrus the Younger's attempt to seize control of the Achaemenid Empire. As the military historian Theodore Ayrault Dodge wrote, the centuries since have devised nothing to surpass the genius of this warrior .</p></div>",https://www.gutenberg.org/ebooks/1178.epub3.images,https://www.gutenberg.org/cache/epub/1178/pg1178.cover.medium.jpg,Free,#3b2b1e,#ffffff,#f59e0b,p-rings,en
"Rubáiyát of Omar Khayyam, Rendered into English Verse",A free public domain poetry book,Omar Khayyam,"Omar Khayyam (1048–1131) was a Persian poet and polymath, known for his contributions to mathematics, astronomy, philosophy, and Persian literature. He was born in Nishapur, Iran and lived during the Seljuk era, around the time of the First Crusade.",Poetry,free,0,199,"A classic poetry work by Omar Khayyam. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Rubáiyát of Omar Khayyam, Rendered into English Verse by Omar Khayyam is a foundational poetry work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Omar Khayyam (1048–1131) was a Persian poet and polymath, known for his contributions to mathematics, astronomy, philosophy, and Persian literature. He was born in Nishapur, Iran and lived during the Seljuk era, around the time of the First Crusade.</p></div>",https://www.gutenberg.org/ebooks/35260.epub3.images,https://www.gutenberg.org/cache/epub/35260/pg35260.cover.medium.jpg,Free,#4a2b3d,#ffffff,#fb7185,p-rings,en
"The Deipnosophists; or, Banquet of the Learned of Athenæus, Vol. 1 (of 3)","A free public domain civilization, greco-roman book",of Naucratis Athenaeus,"of Naucratis Athenaeus is an author and scholar in the field of Civilization, greco-roman, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.","Civilization, greco-roman",free,0,285,"A classic civilization, greco-roman work by of Naucratis Athenaeus. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Deipnosophists; or, Banquet of the Learned of Athenæus, Vol. 1 (of 3) by of Naucratis Athenaeus is a foundational civilization, greco-roman work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>of Naucratis Athenaeus is an author and scholar in the field of Civilization, greco-roman, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/36921.epub3.images,https://www.gutenberg.org/cache/epub/36921/pg36921.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
"Ancient Monuments of the Mississippi Valley: Smithsonian Contributions to Knowledge, Vol. I.",A free public domain indians of north america book,E. G. Squier,"Ephraim George Squier was an American archaeologist, diplomat, and journalist. Born in Bethlehem, New York, he spent his early career in the northeastern United States. There, along with his colleague Edwin H. Davis, he was a prominent investigator of the prehistoric Indian mounds of the Ohio River valley. Squier received national recognition after he co-authored Ancient Monuments of the Mississippi Valley (1848). It was the first publication of the newly established Smithsonian Institution.",Indians of north america,free,0,167,"A classic indians of north america work by E. G. Squier. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Ancient Monuments of the Mississippi Valley: Smithsonian Contributions to Knowledge, Vol. I. by E. G. Squier is a foundational indians of north america work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Ephraim George Squier was an American archaeologist, diplomat, and journalist. Born in Bethlehem, New York, he spent his early career in the northeastern United States. There, along with his colleague Edwin H. Davis, he was a prominent investigator of the prehistoric Indian mounds of the Ohio River valley. Squier received national recognition after he co-authored Ancient Monuments of the Mississippi Valley (1848). It was the first publication of the newly established Smithsonian Institution.</p></div>",https://www.gutenberg.org/ebooks/49668.epub3.images,https://www.gutenberg.org/cache/epub/49668/pg49668.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
The Great Big Treasury of Beatrix Potter,A free public domain fiction book,Beatrix Potter,"Helen Beatrix Heelis, usually known as Beatrix Potter, was an English writer, illustrator, natural scientist, and conservationist. She is best known for her children's books featuring animals, such as The Tale of Peter Rabbit, which was her first commercially published work in 1902. Her books, including The Tale of Jemima Puddle Duck and The Tale of Tom Kitten, have sold more than 250 million copies. An entrepreneur, Potter was a pioneer of character merchandising. In 1903, Peter Rabbit was the first fictional character to be made into a patented stuffed toy, making him the oldest licensed character.",Fiction,free,0,271,"A classic fiction work by Beatrix Potter. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Great Big Treasury of Beatrix Potter by Beatrix Potter is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Helen Beatrix Heelis, usually known as Beatrix Potter, was an English writer, illustrator, natural scientist, and conservationist. She is best known for her children's books featuring animals, such as The Tale of Peter Rabbit, which was her first commercially published work in 1902. Her books, including The Tale of Jemima Puddle Duck and The Tale of Tom Kitten, have sold more than 250 million copies. An entrepreneur, Potter was a pioneer of character merchandising. In 1903, Peter Rabbit was the first fictional character to be made into a patented stuffed toy, making him the oldest licensed character.</p></div>",https://www.gutenberg.org/ebooks/572.epub3.images,https://www.gutenberg.org/cache/epub/572/pg572.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
"Love of Life, and Other Stories",A free public domain adventure book,Jack London,"John Griffith London, better known as Jack London, was an American novelist, journalist and activist. A pioneer of commercial fiction and American magazines, he was one of the first American authors to become an international celebrity and earn a large fortune from writing.",Adventure,free,0,241,"A classic adventure work by Jack London. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Love of Life, and Other Stories by Jack London is a foundational adventure work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>John Griffith London, better known as Jack London, was an American novelist, journalist and activist. A pioneer of commercial fiction and American magazines, he was one of the first American authors to become an international celebrity and earn a large fortune from writing.</p></div>",https://www.gutenberg.org/ebooks/710.epub3.images,https://www.gutenberg.org/cache/epub/710/pg710.cover.medium.jpg,Free,#1c1917,#ffffff,#fb923c,p-rings,en
The Substance of a Dream,A free public domain fiction book,F. W. Bain,Francis William Bain was a British writer of fantasy stories that he claimed were translated from Sanskrit.,Fiction,free,0,95,"A classic fiction work by F. W. Bain. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Substance of a Dream by F. W. Bain is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Francis William Bain was a British writer of fantasy stories that he claimed were translated from Sanskrit.</p></div>",https://www.gutenberg.org/ebooks/20935.epub3.images,https://www.gutenberg.org/cache/epub/20935/pg20935.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
A History of Sea Power,A free public domain history book,William Oliver Stevens,William Oliver Stevens was an American writer and Professor for the United States Naval Academy.,History,free,0,257,"A classic history work by William Oliver Stevens. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>A History of Sea Power by William Oliver Stevens is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>William Oliver Stevens was an American writer and Professor for the United States Naval Academy.</p></div>",https://www.gutenberg.org/ebooks/24797.epub3.images,https://www.gutenberg.org/cache/epub/24797/pg24797.cover.medium.jpg,Free,#4a3728,#ffffff,#f59e0b,p-rings,en
"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 2 (of 2): Written by Himself Containing a True and Full Account of the Discovery and Conquest of Mexico and New Spain.",A free public domain history book,Bernal Díaz del Castillo,"Bernal Díaz del Castillo was a Spanish conquistador who participated as a soldier in the conquest of the Aztec Empire under Hernán Cortés and late in his life wrote an account of the events. As an experienced soldier of fortune, he had already participated in expeditions to Tierra Firme, Cuba, and to Yucatán before joining Cortés.",History,free,0,148,"A classic history work by Bernal Díaz del Castillo. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 2 (of 2): Written by Himself Containing a True and Full Account of the Discovery and Conquest of Mexico and New Spain. by Bernal Díaz del Castillo is a foundational history work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Bernal Díaz del Castillo was a Spanish conquistador who participated as a soldier in the conquest of the Aztec Empire under Hernán Cortés and late in his life wrote an account of the events. As an experienced soldier of fortune, he had already participated in expeditions to Tierra Firme, Cuba, and to Yucatán before joining Cortés.</p></div>",https://www.gutenberg.org/ebooks/32475.epub3.images,https://www.gutenberg.org/cache/epub/32475/pg32475.cover.medium.jpg,Free,#4a3728,#ffffff,#f59e0b,p-rings,en
The death's head meteor,A free public domain science book,Neil R. Jones,"Neil Ronald Jones was an American writer who worked for the state of New York. His first story, The Death's Head Meteor, was published in Air Wonder Stories in 1930, possibly recording the first use of astronaut in fiction. He also pioneered cyborg and robotic characters, and is credited with inspiring the modern idea of cryonics. Most of his stories fit into a future history like that of Robert A. Heinlein or Cordwainer Smith, well before either of them used this convention in their fiction.",Science,free,0,268,"A classic science work by Neil R. Jones. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The death's head meteor by Neil R. Jones is a foundational science work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Neil Ronald Jones was an American writer who worked for the state of New York. His first story, The Death's Head Meteor, was published in Air Wonder Stories in 1930, possibly recording the first use of astronaut in fiction. He also pioneered cyborg and robotic characters, and is credited with inspiring the modern idea of cryonics. Most of his stories fit into a future history like that of Robert A. Heinlein or Cordwainer Smith, well before either of them used this convention in their fiction.</p></div>",https://www.gutenberg.org/ebooks/79386.epub3.images,https://www.gutenberg.org/cache/epub/79386/pg79386.cover.medium.jpg,Free,#1e3a5f,#ffffff,#38bdf8,p-rings,en
"The Gutenberg Webster's Unabridged Dictionary: Section F, G and H",A free public domain english language book,Project Gutenberg,"Project Gutenberg (PG) is a volunteer effort to digitize and archive cultural works, as well as to encourage the creation and distribution of eBooks. It was founded in 1971 by American writer Michael S. Hart and is the oldest digital library. Most of the items in its collection are the full texts of books or individual stories in the public domain. All files can be accessed for free under an open format layout, available on almost any computer. As of 22 March 2026, Project Gutenberg had reached nearly 78,000 items in its collection of free eBooks.",English language,free,0,253,"A classic english language work by Project Gutenberg. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Gutenberg Webster's Unabridged Dictionary: Section F, G and H by Project Gutenberg is a foundational english language work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Project Gutenberg (PG) is a volunteer effort to digitize and archive cultural works, as well as to encourage the creation and distribution of eBooks. It was founded in 1971 by American writer Michael S. Hart and is the oldest digital library. Most of the items in its collection are the full texts of books or individual stories in the public domain. All files can be accessed for free under an open format layout, available on almost any computer. As of 22 March 2026, Project Gutenberg had reached nearly 78,000 items in its collection of free eBooks.</p></div>",https://www.gutenberg.org/ebooks/663.epub3.images,https://www.gutenberg.org/cache/epub/663/pg663.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
Theologico-Political Treatise — Part 1,A free public domain philosophy book,Benedictus de Spinoza,"Baruch (de) Spinoza, also known under his Latinized pen name Benedictus de Spinoza, was a philosopher of Portuguese-Jewish origin who was born and lived in the Dutch Republic. A forerunner of the Enlightenment, Spinoza significantly influenced modern biblical criticism, 17th-century rationalism, and Dutch intellectual culture, establishing himself as one of the most important and radical philosophers of the early modern period. Influenced by Stoicism, Thomas Hobbes, René Descartes, and heterodox Christians, Spinoza was a leading philosopher of the Dutch Golden Age.",Philosophy,free,0,177,"A classic philosophy work by Benedictus de Spinoza. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Theologico-Political Treatise — Part 1 by Benedictus de Spinoza is a foundational philosophy work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Baruch (de) Spinoza, also known under his Latinized pen name Benedictus de Spinoza, was a philosopher of Portuguese-Jewish origin who was born and lived in the Dutch Republic. A forerunner of the Enlightenment, Spinoza significantly influenced modern biblical criticism, 17th-century rationalism, and Dutch intellectual culture, establishing himself as one of the most important and radical philosophers of the early modern period. Influenced by Stoicism, Thomas Hobbes, René Descartes, and heterodox Christians, Spinoza was a leading philosopher of the Dutch Golden Age.</p></div>",https://www.gutenberg.org/ebooks/989.epub3.images,https://www.gutenberg.org/cache/epub/989/pg989.cover.medium.jpg,Free,#3d2b4a,#ffffff,#a78bfa,p-rings,en
Three translations of the Koran (Al-Qur'an) side by side,A free public domain qur'an book,Unknown Author,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,Qur'an,free,0,95,"A classic qur'an work by Unknown Author. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Three translations of the Koran (Al-Qur'an) side by side by Unknown Author is a foundational qur'an work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/16955.epub3.images,https://www.gutenberg.org/cache/epub/16955/pg16955.cover.medium.jpg,Best Seller,#0f2a43,#ffffff,#f59e0b,p-rings,en
The Memoirs of François René Vicomte de Chateaubriand sometime Ambassador to England. Volume 6 (of 6): Mémoires d'outre-tombe volume 6,"A free public domain chateaubriand, françois-rené, vicomte de, 1768-1848 book",vicomte de François-René Chateaubriand,"vicomte de François-René Chateaubriand is an author and scholar in the field of Chateaubriand, françois-rené, vicomte de, 1768-1848, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.","Chateaubriand, françois-rené, vicomte de, 1768-1848",free,0,148,"A classic chateaubriand, françois-rené, vicomte de, 1768-1848 work by vicomte de François-René Chateaubriand. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Memoirs of François René Vicomte de Chateaubriand sometime Ambassador to England. Volume 6 (of 6): Mémoires d'outre-tombe volume 6 by vicomte de François-René Chateaubriand is a foundational chateaubriand, françois-rené, vicomte de, 1768-1848 work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>vicomte de François-René Chateaubriand is an author and scholar in the field of Chateaubriand, françois-rené, vicomte de, 1768-1848, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/55124.epub3.images,https://www.gutenberg.org/cache/epub/55124/pg55124.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
Jungle Tales of Tarzan,A free public domain adventure book,Edgar Rice Burroughs,"Edgar Rice Burroughs was an American writer, recognized for his prolific output in the adventure, science fiction, and fantasy genres. Best known for creating the characters Tarzan and John Carter, he also wrote the Pellucidar series, the Amtor series, and the Caspak trilogy.",Adventure,free,0,288,"A classic adventure work by Edgar Rice Burroughs. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Jungle Tales of Tarzan by Edgar Rice Burroughs is a foundational adventure work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Edgar Rice Burroughs was an American writer, recognized for his prolific output in the adventure, science fiction, and fantasy genres. Best known for creating the characters Tarzan and John Carter, he also wrote the Pellucidar series, the Amtor series, and the Caspak trilogy.</p></div>",https://www.gutenberg.org/ebooks/106.epub3.images,https://www.gutenberg.org/cache/epub/106/pg106.cover.medium.jpg,Free,#1c1917,#ffffff,#fb923c,p-rings,en
The Eyes of Asia,"A free public domain world war, 1914-1918 book",Rudyard Kipling,"Joseph Rudyard Kipling was an English journalist, novelist, poet and short-story writer. He was born in British India, which inspired much of his work.","World war, 1914-1918",free,0,217,"A classic world war, 1914-1918 work by Rudyard Kipling. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Eyes of Asia by Rudyard Kipling is a foundational world war, 1914-1918 work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Joseph Rudyard Kipling was an English journalist, novelist, poet and short-story writer. He was born in British India, which inspired much of his work.</p></div>",https://www.gutenberg.org/ebooks/23163.epub3.images,https://www.gutenberg.org/cache/epub/23163/pg23163.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
The electric bath,A free public domain electric baths book,George M. Schweig,"George M. Schweig is an author and scholar in the field of Electric baths, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Electric baths,free,0,95,"A classic electric baths work by George M. Schweig. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The electric bath by George M. Schweig is a foundational electric baths work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>George M. Schweig is an author and scholar in the field of Electric baths, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/26366.epub3.images,https://www.gutenberg.org/cache/epub/26366/pg26366.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
海上花列傳,A free public domain fiction book,Bangqing Han,"Bangqing Han is an author and scholar in the field of Fiction, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Fiction,free,0,258,"A classic fiction work by Bangqing Han. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>海上花列傳 by Bangqing Han is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Bangqing Han is an author and scholar in the field of Fiction, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/26872.epub3.images,https://www.gutenberg.org/cache/epub/26872/pg26872.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
